Country Name;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Bahamas, The;1550.3243149571563;1651.4754770796667;1752.9702927808555;1867.11298751475;1994.5449196447714;2144.830971359226;2322.943853080633;2556.835300875915;2804.705130805687;3215.4866719957677;3179.2762715531653;3297.9989992120227;3322.668256119299;3696.663140262716;3416.55006239904;3156.468059423344;3328.6331919834943;3617.2511934899626;4130.750869670938;5532.150830938885;6338.619867939486;6622.685658043791;7165.134490977189;7694.937984874792;8873.769102015085;9888.48934964442;10339.5210156776;11150.690036278776;11381.82155998691;12158.078848834026;12350.9768428937;11914.85776436526;11682.084964717022;11402.65152213597;11812.464887004116;12239.8714974121;12717.1500052856;22066.278705091125;23557.953526856512;26173.715476952842;27112.25620195374;27439.35870156861;28727.022192607637;28092.485732202465;28076.15510067406;29874.654137142406;30274.99032248459;31018.029492182934;30188.484438275078;28129.607502761686;27979.11493437389;27472.256170751407;28815.527404385026;28171.98600360513;28671.346969534417;30483.82010040378;30260.305905447407;30762.01243926437
Bosnia and Herzegovina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;318.020001219556;485.6172766681414;736.9753293552727;978.516728019385;1097.644554612031;1246.4971141001936;1461.750520470286;1524.412021523339;1761.5376471886111;2214.7322459187176;2650.642660797934;2968.411806119721;3404.321697715672;4180.292176258092;5078.314577209141;4701.334426413475;4614.829041140503;5054.325344237571;4722.013403067274;5042.582213046121;5204.243718411686;4584.2425478175455;4808.636042871117;5180.636300934734
Belarus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2124.8405142801057;1765.7445556209534;1667.681777313727;1590.0958819745279;1460.0590758955987;1370.6765588501064;1452.445487583283;1396.5017856782013;1511.770052678833;1210.6117195862005;1276.2880340999961;1244.373185234307;1479.3145827167673;1819.7660592617688;2378.62328600741;3125.8105350285305;3847.434123821527;4735.657607939994;6377.36973201232;5176.263829969901;6029.396799829298;6519.230194988924;6940.159253597351;7978.872614710763;8318.512689926749;5949.106306997479;5022.62664330491;5726.029672509309
Belize;304.91710725396194;316.4036061432663;327.1268674684011;336.9414661145697;351.1611262695624;377.5943051661821;406.0979670735768;420.4318881981648;386.9532370108698;396.6543062824971;435.6904694155583;474.4442162074054;519.5635076681085;605.9334407026512;786.0690920438808;885.9845290600438;717.0401828853957;858.8280810868029;980.8225092649228;1074.2719648986238;1350.976379591412;1307.2116883292904;1183.1683168316831;1212.9224371398136;1315.27250275964;1268.1829481994412;1343.7087186261556;1586.4502065167508;1758.9427352146026;1979.3534602575912;2202.3225558778367;2326.845902702929;2666.9776705074696;2833.061341186948;2880.211132818311;2996.3829283495115;3001.665137872292;2952.6021407362623;2991.9249709054907;3065.4922477052705;3364.4237106524074;3419.2757192608165;3556.5618254349633;3679.9095232787126;3831.538018537501;3933.332215464016;4187.378029695921;4324.876427161561;4470.220795976026;4258.788611437618;4344.150176612523;4517.137719021119;4673.791435130872;4685.249476292996;4844.981859229898;4950.2560619892665;4960.181793903323;4905.506284012266
Bermuda;1902.4021189223959;1961.5381692464969;2020.3859650334512;2020.2652475244547;2199.7270069117926;2282.2165461623936;2630.850466329458;2982.749704261077;2830.1886792452833;3053.7037037037044;3387.2727272727275;3866.300366300367;4343.173431734317;5009.293680297398;5853.9325842696635;6509.43396226415;7261.2781954887205;8370.786516853932;8876.865671641792;9613.382899628254;11218.217815986829;13425.976966394188;14166.171292539091;15902.020382621133;17469.825567587686;18269.535519701923;20450.66452894636;22411.795674946847;24253.175518878437;25517.92172124879;26841.519738394632;27700.3095169516;28669.68225957846;30900.694890510953;31476.06311530681;33989.72235798212;44826.78907016581;48478.88325040911;51371.740806983566;54245.45973729298;56284.16864780941;58883.9594265967;62583.1002034588;66111.72522700355;70359.31910887982;75882.03385603393;83912.69779768455;90849.58698064355;93605.74816539764;88463.31281613748;88207.3275597322;85973.15841645499;85458.45550788603;85748.06541437824;;;;
Bolivia;152.4618458034031;162.6957054245433;174.49338598733112;184.2755350051488;203.60114945370987;223.278329931788;239.37491604723846;255.84796644300437;210.1898901212001;218.55580120790532;225.74829855614655;238.1117003129697;267.6869789187027;263.2106120369104;428.4328637987251;480.0507642499502;533.6275534809415;616.6670740015232;702.428917279226;808.4191206124551;811.7768958422577;1031.5161614431806;958.687903850696;909.8477610102224;1013.8009374050732;865.6901106352481;624.7154200309792;672.5655910427955;697.3705600781491;701.4646141371237;709.9488612434276;764.1413320843648;791.3804292586325;788.3990281488368;806.2214519071056;887.4685242565853;958.4737661775459;1006.9647386991223;1058.7187495042542;1012.50977332125;1007.002868884509;958.2366524089014;913.5756261547999;917.3643104861703;978.334648481852;1046.4273841431661;1233.5944354378685;1389.6373432617822;1736.9350510228876;1776.8664756218895;1981.1607045043675;2377.675917941253;2645.227752601463;2947.9385262805126;3124.000309825158;3077.026199171576;3117.330459121604;3393.955817517815
Brazil;210.02747042947792;204.92930153477297;260.2252661270987;291.9505890018018;261.3310830556636;260.9646925422908;315.27738237919016;346.8801003876512;374.0832617582122;403.0652523071263;444.02626760181937;503.4787661402808;584.5506847713657;772.8187913047357;1000.6342526909829;1149.586120593226;1385.298529741041;1560.8630604471437;1737.3675521191192;1901.0013250439526;1939.7908764714496;2124.9629888795894;2218.890515459226;1565.2978321106173;1573.967139332195;1643.1965026760965;1936.0163352669879;2081.6652618689527;2294.4016946602515;2901.285449270741;3093.037478638153;3966.795488491624;2591.797116278057;2786.171355744769;3494.640541351091;4740.119813362761;5156.809075137589;5271.412222466029;5075.631211311874;3469.502236622284;3739.116138765183;3146.948903663574;2819.648120118197;3059.5865069080223;3623.0499120929885;4770.183845112932;5860.145829417522;7313.557773361145;8787.61065756604;8553.381368256945;11224.154082935482;13167.472891753336;12291.46685232906;12216.904464339617;12026.61939063131;8750.222996073242;8639.365743445374;9821.407686410075
Barbados;;;;;;;;;;;;;;;1805.8287578125064;1933.7210354067981;2083.968518523019;2354.173247014779;2615.821967742855;3157.183304053985;4035.8032492157035;4426.2820679210745;4610.886569020168;4882.627279271464;5307.385032604192;5539.048898599555;6061.953689688752;6652.554903615237;7050.7745588552025;7769.007041568038;7770.815257579081;7681.981932689814;7440.957495499344;7777.554485247856;8148.382410925345;8537.056186931499;9069.168909059968;9549.894078992756;10727.595838504056;11200.577632842562;11567.66612191353;11513.936863882373;11675.347541973933;12028.480338502452;12868.787327301156;14223.255440514731;15439.992146568307;16381.495564005068;16613.719218661543;15922.900132868892;15959.029792287414;16610.418352037235;16536.21464211517;16326.91347886262;16261.799318947722;16129.049282766333;15891.62654914455;16788.68391959443
Brunei Darussalam;;;;;;1113.4024472081874;1237.0792370242698;1235.892097150941;1363.4530441228696;1303.7394134417889;1381.9721669313192;1455.3083362206446;1906.1929840541209;2915.2665830591864;6921.436445606597;7226.430872915525;8459.324214414239;9914.123811694113;10711.866044378869;14941.062398848191;25412.994952113677;21821.79498501323;20687.39975378696;18123.859893895853;17332.974785259386;15694.539993698845;10211.596284923446;11591.78627314294;11006.870510200803;11869.987274208348;13604.15682569674;13901.721732345113;15270.486120655163;14572.108534668747;14117.392142066868;15929.163761766436;16789.037170714157;16656.089880520743;12690.689324462162;14097.931588254583;18008.448258961238;16468.128862600868;16846.02198410835;18555.566485107545;21896.605265877683;26102.13345421189;30980.9669198566;32672.367171106802;37951.28059597825;27965.475037950302;35268.101170358066;47017.027300471505;47651.25908964133;44597.279681535;41530.668979258066;30967.89050637698;26939.41804704397;28290.585195571177
Bhutan;;;;;;;;;;;;;;;;;;;;;331.53122688110227;348.23645207398965;345.51521642049636;374.7585489865483;373.0604584263051;368.6335872430178;416.96840600016486;505.9227309405653;548.7543972589585;520.4078194050618;557.9721483069828;465.38858393259324;471.8392541609543;449.6882539679168;524.2981457797373;588.5939027050084;609.3430175750074;692.126206397877;695.2902532515155;751.5757717287829;765.8632357656953;807.9387672686673;885.6382245309477;997.7417140733032;1097.4570876210319;1247.061391608961;1335.456905885983;1741.1425516889776;1795.1813072028233;1770.2344965917173;2178.921383079667;2458.045976154497;2422.008015778277;2350.882889244728;2504.717406559407;2615.310220078436;2773.547135302236;3110.2301125251925
